unique_city,city,country,lat,lng
Acandi_NaN_Choco_CO,Acandi,CO,8.5138009231268,-77.279701932361
Acaponeta_NaN_Nayarit_MX,Acaponeta,MX,22.48931476048,-105.37291856799
Accha_Provincia de Paruro_Cusco_PE,Accha,PE,-13.958002193316,-71.823037787453
Achanizo_Provincia de Caraveli_Arequipa_PE,Achanizo,PE,-15.962363350588,-74.040871648476
Achenkirch_Politischer Bezirk Schwaz_Tyrol_AT,Achenkirch,AT,47.57244886113928,11.655001432952432
Acireale_Catania_Sicily_IT,Acireale,IT,37.631141706613,15.143033164248
Acquasanta Terme_Provincia di Ascoli Piceno_The Marches_IT,Acquasanta Terme,IT,42.787412563808,13.429496995613
Acuexcomac_NaN_Puebla_MX,Acuexcomac,MX,19.034781408448,-98.377351987534
Acuitzio del Canje_NaN_Michoacan_MX,Acuitzio del Canje,MX,19.495196162476,-101.38160198194
Adam_NaN_Muhafazat ad Dakhiliyah_OM,Adam,OM,22.364549183706,57.511826316999
Adapazari_NaN_Sakarya_TR,Adapazari,TR,40.718496049714,30.434179219476
Addiet Canna_NaN_Amhara_ET,Addiet Canna,ET,11.189059544199,37.841809170543
Addis Ababa_NaN_Adis Abeba_ET,Addis Ababa,ET,8.85430464186667,38.80388339859738
Adeane_NaN_Ziguinchor_SN,Adeane,SN,12.411396352116,-15.757611382463
Adiake_NaN_Sud-Comoe_CI,Adiake,CI,5.4050452051908,-3.332028473271
Adigrat_NaN_Tigray_ET,Adigrat,ET,14.075814723385,39.311641375855
Adipala_NaN_Central Java_ID,Adipala,ID,-7.6855759042313,109.17261105346
Adir_NaN_Karak_JO,Adir,JO,31.250497114777,36.045764315821
Adis Zemen_NaN_Amhara_ET,Adis Zemen,ET,12.124956757327,37.776453710527
Adjumani_Adjumani District_Northern Region_UG,Adjumani,UG,3.3482744938679,31.855302575204
Adra_Provincia de Almeria_Andalusia_ES,Adra,ES,36.75324884798,-3.0958418690804
Adur_Pattanamtitta_Kerala_IN,Adur,IN,9.119855383302646,76.74377178167664
Aflou_NaN_Laghouat_DZ,Aflou,DZ,33.777151666993,1.6107380322518
Afrikanda_NaN_Murmansk_RU,Afrikanda,RU,67.667762698997,32.791232983028
Afton_Lincoln County_Wyoming_US,Afton,US,43.026416166825,-111.01224423177
Afzalgarh_Bijnor_Uttar Pradesh_IN,Afzalgarh,IN,29.366526496052643,78.75742383290826
Agacoren_NaN_Aksaray_TR,Agacoren,TR,38.808333307594,33.716977799087
Agadir Melloul_Taroudannt_Souss-Massa-Draa_MA,Agadir Melloul,MA,30.456331617573845,-7.554112855075898
Agaro_NaN_Oromiya_ET,Agaro,ET,8.113949516794104,36.460252215218894
Agbani_NaN_Enugu_NG,Agbani,NG,6.1985459902975,7.4925472093824
Agbannawag_Kalinga_Cordillera_PH,Agbannawag,PH,17.39601844218763,121.53863534047692
Agia Foteini_Nomos Rethymnis_Crete_GR,Agia Foteini,GR,35.237921229335,24.693147174804
Agios Georgis_Nomos Kerkyras_Ionian Islands_GR,Agios Georgis,GR,39.683879798023,19.756029696994
Aglona_NaN_Aglona_LV,Aglona,LV,55.912164264474,26.848982522727
Agra_Agra_Uttar Pradesh_IN,Agra,IN,27.158667205023,78.059789054372
Agrestina_Agrestina_Pernambuco_BR,Agrestina,BR,-8.44041272793164,-35.95431517867283
Agua Branca_Agua Branca_Piaui_BR,Agua Branca,BR,-5.839744720700323,-42.4687350685437
Agua Dulce_Los Angeles County_California_US,Agua Dulce,US,34.435258942087,-118.34491951766
Agua Fria_Santa Fe County_New Mexico_US,Agua Fria,US,35.598624239654,-106.04022076312
Aguazul_NaN_Casanare_CO,Aguazul,CO,5.057080904434375,-72.60507842680313
Agustin Codazzi_NaN_Cesar_CO,Agustin Codazzi,CO,10.169414594223,-73.188074230853
Ahipara_Far North District_Northland_NZ,Ahipara,NZ,-34.441212372249,172.69879171535
Ahmadnagar_Ahmadnagar_Maharashtra_IN,Ahmadnagar,IN,19.080676607064,74.730079773433
Ahmedabad_Ahmadabad_Gujarat_IN,Ahmedabad,IN,22.928693999866,72.585460001765
Ahram_NaN_Bushehr_IR,Ahram,IR,28.775142188417,51.059393144402
Ahvaz_NaN_Khuzestan_IR,Ahvaz,IR,31.341559134337,48.718589914636
Ai Tu_NaN_Quang Tri_VN,Ai Tu,VN,16.789879500779,107.14132789885
Aiguefonde_Departement du Tarn_Midi-Pyrenees_FR,Aiguefonde,FR,43.445421527816,2.3370504412779
Aillant-sur-Tholon_Departement de l'Yonne_Bourgogne_FR,Aillant-sur-Tholon,FR,47.890379479495,3.2390556836249
Aimere_NaN_East Nusa Tenggara_ID,Aimere,ID,-8.8274229643508,120.90102798718
Ain Sefra_NaN_Wilaya de Naama_DZ,Ain Sefra,DZ,32.495164693285,-0.63540437575839
Ain Sukhna_NaN_As Suways_EG,Ain Sukhna,EG,29.693349495733,32.165118992991
Aipetu_NaN_East Nusa Tenggara_ID,Aipetu,ID,-8.7966002141598,121.97755842856
Aiquile_NaN_Cochabamba_BO,Aiquile,BO,-18.180824011301,-64.90004654384
Airmolek_NaN_Riau_ID,Airmolek,ID,-0.4022696381427,102.41475672744
Aitape_NaN_Sandaun_PG,Aitape,PG,-3.2002728721948,142.21283740247
Aizkraukle_NaN_Aizkraukles Rajons_LV,Aizkraukle,LV,56.566124833959,25.210164979988
Ajain_Departement de la Creuse_Limousin_FR,Ajain,FR,46.194635992905,2.0768940041747
Ajung_NaN_East Java_ID,Ajung,ID,-8.2040346021938,113.65487411953
Akarsu_NaN_Erzincan_TR,Akarsu,TR,39.960952811373,38.682309399624
Akdere_NaN_Mersin_TR,Akdere,TR,36.330828710324,33.661532763284
Aketi_NaN_Eastern Province_CD,Aketi,CD,2.7837391127973,23.832216210036
Akhisar_NaN_Manisa_TR,Akhisar,TR,38.950699657695,27.836685123151
Akhtanizovskaya_NaN_Krasnodarskiy_RU,Akhtanizovskaya,RU,45.29091798005953,37.08193756815476
Akhtubinsk_NaN_Astrakhan_RU,Akhtubinsk,RU,48.280654895023,46.184991963239
Akirkeby_Bornholm Kommune_Capital Region_DK,Akirkeby,DK,55.037750177533,14.897929482225
Akkisla_NaN_Kayseri_TR,Akkisla,TR,39.007839563452,36.113562598476
Akko_NaN_Gombe_NG,Akko,NG,10.290915700002286,11.0515465
Aksu_NaN_Antalya_TR,Aksu,TR,37.042826961648,30.747166981202
Aksum_NaN_Tigray_ET,Aksum,ET,14.162733044261,38.906826629577
Aktash_NaN_Altay_RU,Aktash,RU,50.352871464389,87.388094740802
Aktau_NaN_Mangghystau_KZ,Aktau,KZ,43.666319325569,51.192808485611
Aku_NaN_Enugu_NG,Aku,NG,6.7419301748539,7.2226426831532
Akureyri_NaN_Northeast_IS,Akureyri,IS,65.841204452354,-18.252042924966
Al Bahah_NaN_Mintaqat al Bahah_SA,Al Bahah,SA,19.905854378119667,41.28071871096417
Al Bayda'_NaN_Al Jabal al Akhdar_LY,Al Bayda',LY,32.4851919,21.5101481
Al Buraymi_NaN_Al Buraimi_OM,Al Buraymi,OM,24.472269159093976,55.623445021127445
Al Firnanah_NaN_Jundubah_TN,Al Firnanah,TN,36.804933111858,8.6789151747032
Al Fujayrah_NaN_Al Fujayrah_AE,Al Fujayrah,AE,25.13777103037,56.231589173762
Al Jiftlik_NaN_NaN_PS,Al Jiftlik,PS,32.136347339617,35.501324665776
Al Jizah_NaN_Amman_JO,Al Jizah,JO,31.578954190984,36.007224063441
Al Jumum_NaN_Makkah_SA,Al Jumum,SA,21.630946809414,39.698928939574
Al Karmil_NaN_NaN_PS,Al Karmil,PS,31.409709285531,35.138893898438
Al Khaburah_NaN_Al Batinah_OM,Al Khaburah,OM,23.825727188677,57.061215158623
Al Khankah_NaN_Muhafazat al Qalyubiyah_EG,Al Khankah,EG,30.021256124402,31.50713833442
Al Khawr_NaN_Al Khawr_QA,Al Khawr,QA,25.812134788071425,51.5117999404219
Al Majaridah_NaN_Mintaqat `Asir_SA,Al Majaridah,SA,19.128534100405,41.084526505041
Al Mansurah_Al Mansura_Aden_YE,Al Mansurah,YE,12.833019182356,44.940022734472
Al Metlaoui_NaN_Gafsa_TN,Al Metlaoui,TN,34.311753262019785,8.4503687327452
Al Quwayrah_NaN_Ma'an_JO,Al Quwayrah,JO,30.063995360543,35.123004235374
Al Wafrah_NaN_Al Ahmadi_KW,Al Wafrah,KW,28.702393438485,47.985025599352
Al_Al_Buskerud_NO,Al,NO,60.608630201364,8.5020519420979
Alafaya_Orange County_Florida_US,Alafaya,US,28.601566964021,-81.171604020795
Alagoa_Portalegre_Portalegre_PT,Alagoa,PT,39.395624542127,-7.5988179758924
Alamo_Socorro County_New Mexico_US,Alamo,US,34.104978971694,-107.62648467585
Alampur_Mahbubnagar_Telangana_IN,Alampur,IN,15.711309200258,78.119213544567
Alangalang_Province of Leyte_Eastern Visayas_PH,Alangalang,PH,11.215906611308,124.82771845438
Alausi_NaN_Chimborazo_EC,Alausi,EC,-2.1852036865719,-78.718995447922
Albacete_Provincia de Albacete_Castille-La Mancha_ES,Albacete,ES,39.020087463555,-1.8057795143652
Albania_NaN_La Guajira_CO,Albania,CO,11.444037102004,-72.539208000507
Albany_Albany_Western Australia_AU,Albany,AU,-35.016444444444,117.88133333333
Albufeira_Albufeira_Faro_PT,Albufeira,PT,37.101727714155,-8.2558677645607
Albunol_Provincia de Granada_Andalusia_ES,Albunol,ES,36.752516683766,-3.1880521854188
Alcacer do Sal_Alcacer do Sal_Setubal_PT,Alcacer do Sal,PT,38.4363215786,-8.5378795942711
Alcala_Province of Cagayan_Cagayan Valley_PH,Alcala,PH,17.893240294286,121.68944150842
Alcala_Province of Pangasinan_Ilocos_PH,Alcala,PH,15.843894376963656,120.51334981843176
Alden_Erie County_New York_US,Alden,US,42.858193885868,-78.514639076315
Alegria_Province of Agusan del Sur_Caraga_PH,Alegria,PH,8.505928792116388,126.03557009838042
Aleksandriyskaya_NaN_Stavropol'skiy_RU,Aleksandriyskaya,RU,44.219230256247,43.373699493227
Alekseyevskaya_NaN_Krasnodarskiy_RU,Alekseyevskaya,RU,45.771606147882,40.14499298823
Alen_Holtalen_Sor-Trondelag_NO,Alen,NO,62.930482744239,11.111854168243
Aleria_Departement de la Haute-Corse_Corsica_FR,Aleria,FR,42.100670966025,9.5151197571449
Alexander Heights_Wanneroo_Western Australia_AU,Alexander Heights,AU,-31.821882084721,115.91613705421
Alexandra_Murrindindi_Victoria_AU,Alexandra,AU,-37.223468278145,145.43709228896
Alfredo Chaves_Alfredo Chaves_Espirito Santo_BR,Alfredo Chaves,BR,-20.536903892973,-40.681231631883
Alfredo V. Bonfil_NaN_Quintana Roo_MX,Alfredo V. Bonfil,MX,21.025749222067,-86.817989353756
Alfta_Ovanakers Kommun_Gaevleborg_SE,Alfta,SE,61.313124184094,16.082647487407
Algarrobo del Aguila_NaN_La Pampa_AR,Algarrobo del Aguila,AR,-36.404278384758,-67.134032716661
Alghero_Provincia di Sassari_Sardinia_IT,Alghero,IT,40.570797593121,8.3415282117399
Alhuey_Angostura_Sinaloa_MX,Alhuey,MX,25.32023243809353,-108.11770327158284
Alibag_Raigarh_Maharashtra_IN,Alibag,IN,18.627995584684,72.897581921467
Alice Springs_Alice Springs_Northern Territory_AU,Alice Springs,AU,-24.047333331658,133.6285
Alikalia_NaN_Northern Province_SL,Alikalia,SL,9.1159528448891,-11.396872347749
Allahabad_Allahabad_Uttar Pradesh_IN,Allahabad,IN,25.372480201217,81.840958462662
Allendale_Ottawa County_Michigan_US,Allendale,US,42.972043707408,-85.871859503907
Alma_Wabaunsee County_Kansas_US,Alma,US,38.797241131287,-96.130652997073
Almaguer_NaN_Cauca_CO,Almaguer,CO,1.9072539012824,-76.994234643737
Almenara_Almenara_Minas Gerais_BR,Almenara,BR,-16.37319816127989,-40.549985383652896
Almodovar del Campo_Provincia de Ciudad Real_Castille-La Mancha_ES,Almodovar del Campo,ES,38.664330973849,-4.1898819510662
Almogia_Provincia de Malaga_Andalusia_ES,Almogia,ES,36.787315877141,-4.4967692181091
Alnavar_Dharwad_Karnataka_IN,Alnavar,IN,15.454924018291502,74.79292962003214
Alotau_NaN_Milne Bay_PG,Alotau,PG,-10.399166666667,150.07222222222
Alpine_Brewster County_Texas_US,Alpine,US,29.587214568675,-103.42736244058
Alta_Alta_Finnmark Fylke_NO,Alta,NO,69.3787265140391,24.129897552925726
Altamira_Altamira_Para_BR,Altamira,BR,-3.221627197535674,-52.70884575754733
Altanbulag_NaN_Central Aimak_MN,Altanbulag,MN,47.903256291301,106.52649495282
Altanbulag_NaN_Selenge_MN,Altanbulag,MN,50.296828324181,106.4787619168
Altinkum_NaN_Diyarbakir_TR,Altinkum,TR,38.2363331163883,40.97691957526096
Altnau_Kreuzlingen District_Thurgau_CH,Altnau,CH,47.608554805224,9.2642775364628
Altoona_Polk County_Iowa_US,Altoona,US,41.600643002753,-93.427739137229
Alvorada_Alvorada_Tocantins_BR,Alvorada,BR,-12.179929819529,-48.408418261288
Alyangula_NaN_Northern Territory_AU,Alyangula,AU,-13.939556041674,136.44320188441
Alytus_Alytus_Alytaus apskritis_LT,Alytus,LT,54.45009073999972,24.04369833002646
Amantea_Provincia di Cosenza_Calabria_IT,Amantea,IT,39.112586117905,16.077963751616
Amargosa_Amargosa_Bahia_BR,Amargosa,BR,-12.812657868439,-39.824424281581
Amarillo_Potter County_Texas_US,Amarillo,US,35.239579075496,-101.93748409332
Amatitan_NaN_Jalisco_MX,Amatitan,MX,20.801131728166,-103.76271487496
Ambalangoda_NaN_Southern_LK,Ambalangoda,LK,6.2851913269842,80.041168406612
Ambam_NaN_South Province_CM,Ambam,CM,2.4044082324391,11.261533493614
Ambanja_NaN_Diana_MG,Ambanja,MG,-13.682980307463,48.452352734848
Ambato Boeny_NaN_Boeny_MG,Ambato Boeny,MG,-16.355719661132,47.00851017083
Ambatondrazaka_NaN_Alaotra Mangoro_MG,Ambatondrazaka,MG,-18.16694173923,48.259448928367
Amberley_Hurunui District_Canterbury_NZ,Amberley,NZ,-42.88086902409564,172.74918248414772
Ambilobe_NaN_Diana_MG,Ambilobe,MG,-13.239425067617,49.806368979768
Ambositra_NaN_Amoron'i Mania_MG,Ambositra,MG,-20.441330320011,47.203211780188
America Dourada_America Dourada_Bahia_BR,America Dourada,BR,-11.497300744448,-41.31441793207
Amerzgane_Ouarzazate_Souss-Massa-Draa_MA,Amerzgane,MA,30.97362821717689,-7.219033319992699
Amherst_Amherst County_Virginia_US,Amherst,US,37.643367012808,-78.975583275138
Amica_Provincia di Cosenza_Calabria_IT,Amica,IT,39.6053618798942,16.679942341337032
Amieva_Province of Asturias_Asturias_ES,Amieva,ES,43.196149218587,-5.1859217455483
Amioun_NaN_Liban-Nord_LB,Amioun,LB,34.318970421791,35.762101871608
Amity_Yamhill County_Oregon_US,Amity,US,45.043122838403,-123.20037842929
Amizmiz_Al-Haouz_Marrakech-Tensift-Al Haouz_MA,Amizmiz,MA,31.167109430842,-8.0914578454774
Amparita_NaN_South Sulawesi_ID,Amparita,ID,-3.9412343701087,119.93917278759
Amta_Haora_West Bengal_IN,Amta,IN,22.47775062992,88.034997356229
Amursk_NaN_Khabarovsk Krai_RU,Amursk,RU,49.850107385505,136.25356016842
An Najaf_NaN_An Najaf_IQ,An Najaf,IQ,32.122811892633,44.324566986542
Anajatuba_Anajatuba_Maranhao_BR,Anajatuba,BR,-3.382759496982312,-44.52493020353799
Anamosa_Jones County_Iowa_US,Anamosa,US,42.05320455684,-91.137072307423
Anandnagar_Maharajganj_Uttar Pradesh_IN,Anandnagar,IN,27.109925860866,83.281718260092
Ananindeua_Ananindeua_Para_BR,Ananindeua,BR,-1.3720661190981,-48.384429029333
Anantapur_Anantapur_Andhra Pradesh_IN,Anantapur,IN,14.726583053825,77.494831387233
Anchorage_Anchorage Municipality_Alaska_US,Anchorage,US,61.137442624015,-149.97702950157
Andenes_Andoy_Nordland_NO,Andenes,NO,69.28087329270369,15.985174883479765
Andijon_NaN_Andijon_UZ,Andijon,UZ,40.933933448992,72.314371374115
Andramasina_NaN_Analamanga_MG,Andramasina,MG,-19.11639903056133,47.56665994146704
Andrews_Andrews County_Texas_US,Andrews,US,32.32049557062791,-102.5956728930238
Aneho_NaN_Maritime_TG,Aneho,TG,6.2459829760394,1.6682539278352
Angaston_Barossa_South Australia_AU,Angaston,AU,-34.637000070506,139.09007169024
Angel Fire_Colfax County_New Mexico_US,Angel Fire,US,36.516016288698,-105.27655877661
Angier_Harnett County_North Carolina_US,Angier,US,35.50728974226,-78.74086308126
Angoram_NaN_East Sepik_PG,Angoram,PG,-4.0022044486916,144.04498515342
Anguil_NaN_La Pampa_AR,Anguil,AR,-36.530842433288,-64.012740748947
Anisoc_NaN_Wele-Nzas_GQ,Anisoc,GQ,1.5930149499367,10.850408441581
Anitapolis_Anitapolis_Santa Catarina_BR,Anitapolis,BR,-27.822119360993,-49.567939529242
Anjirmuara_NaN_South Kalimantan_ID,Anjirmuara,ID,-3.2648118764212,114.51707324547
Anjozorobe_NaN_Analamanga_MG,Anjozorobe,MG,-18.25106222840691,48.26347180403071
Ankazobe_NaN_Analamanga_MG,Ankazobe,MG,-18.047812716312,47.178159520815
Anningqu_NaN_Xinjiang Uygur Zizhiqu_CN,Anningqu,CN,43.933871506585,87.562373572913
Anse La Raye_NaN_Anse-la-Raye_LC,Anse La Raye,LC,13.92850510712,-60.969480753655
Anse a Galets_NaN_Ouest_HT,Anse a Galets,HT,18.80735912078,-72.866039115036
Anse-a-Veau_NaN_Grandans_HT,Anse-a-Veau,HT,18.496654259794,-73.336512444138
Anshan_Anshan Shi_Liaoning_CN,Anshan,CN,41.088485735994,122.99759873368
Ansonia_Darke County_Ohio_US,Ansonia,US,40.266396986261,-84.579904141136
Antananarivo_NaN_Analamanga_MG,Antananarivo,MG,-18.846368796318,47.475531400981
Antanimena_NaN_Atsimo-Andrefana_MG,Antanimena,MG,-23.328420820098,44.30852386275
Anthony_Harper County_Kansas_US,Anthony,US,37.152073965539,-98.034740585161
Antigonish_NaN_Nova Scotia_CA,Antigonish,CA,45.05277261639,-61.991097668344
Antiparos_Nomos Kykladon_South Aegean_GR,Antiparos,GR,36.962370009509,25.054124416243
Antipolo_Province of Nueva Ecija_Central Luzon_PH,Antipolo,PH,15.653236834373,121.2390507385
Antipovka_NaN_Volgograd_RU,Antipovka,RU,49.85797341548811,45.22491935416726
Antofagasta_Provincia de Antofagasta_Antofagasta_CL,Antofagasta,CL,-24.151666003392,-70.314657563858
Antonio Enes_NaN_Nampula_MZ,Antonio Enes,MZ,-15.996718847162,39.602087703406006
Antrim_Hillsborough County_New Hampshire_US,Antrim,US,43.00570034859,-71.931599351125
Antsirabe_NaN_Vakinankaratra_MG,Antsirabe,MG,-19.823870284817,47.062593880206
Antsiranana_NaN_Diana_MG,Antsiranana,MG,-12.324137,49.337178
Antsohihy_NaN_Sofia_MG,Antsohihy,MG,-15.134060885598,47.797750762151
Anuradhapura_NaN_North Central_LK,Anuradhapura,LK,8.3138921327069,80.421221175261
Aomori Shi_NaN_Aomori_JP,Aomori Shi,JP,41.208838026207,140.80042177105
Aourir_Agadir-Ida-ou-Tnan_Souss-Massa-Draa_MA,Aourir,MA,30.498249176859023,-9.668028453798048
Aparecida de Goiania_Aparecida De Goiania_Goias_BR,Aparecida de Goiania,BR,-16.791308440548,-49.317600318596
Apatity_NaN_Murmansk_RU,Apatity,RU,67.588482323293,33.431554570097
Apodaca_NaN_Nuevo Leon_MX,Apodaca,MX,25.753862046511,-100.21885882834
Apollo Bay_Colac-Otway_Victoria_AU,Apollo Bay,AU,-38.771401385106,143.5450963487
Apostoles_Departamento de Apostoles_Misiones_AR,Apostoles,AR,-27.911551736416,-55.700465204486
Appling_Columbia County_Georgia_US,Appling,US,33.649867438981,-82.248133788195
Appomattox_Appomattox County_Virginia_US,Appomattox,US,37.195772714201,-78.809131854052
Aq Qala_NaN_Golestan_IR,Aq Qala,IR,37.419172366388,54.362925565762
Aq Qayeh_NaN_Golestan_IR,Aq Qayeh,IR,37.880094232222,54.740948897273
Aqkoel_Aqkol Audany_Aqmola_KZ,Aqkoel,KZ,52.072060776492,70.998436400685
Aqsu-Ayuly_NaN_Qaraghandy_KZ,Aqsu-Ayuly,KZ,48.778639486327,73.691657148765
Aqtobe_NaN_Aqtoebe_KZ,Aqtobe,KZ,50.231039594617,57.26033129675
Aquiraz_Aquiraz_Ceara_BR,Aquiraz,BR,-3.9553758428028,-38.315641574273
Ar Riqab_NaN_Sidi Bu Zayd_TN,Ar Riqab,TN,35.078705128826,9.8443733843594
Araguaina_Araguaina_Tocantins_BR,Araguaina,BR,-7.7433880855791,-48.450820793227
Arakkonam_Vellore_Tamil Nadu_IN,Arakkonam,IN,12.988937845858,79.676315804763
Arakli_NaN_Trabzon_TR,Arakli,TR,40.935277795008,40.06668076641
Aral_NaN_Qyzylorda_KZ,Aral,KZ,46.493861638098,61.893687499227
Aransas Pass_San Patricio County_Texas_US,Aransas Pass,US,27.946433427674,-97.141209261735
Araraquara_Araraquara_Sao Paulo_BR,Araraquara,BR,-21.730287432035,-48.289362286852
Arauco_Provincia de Arauco_Biobio_CL,Arauco,CL,-37.215010635282,-73.215858440685
Aravankadu_Nilgiri_Tamil Nadu_IN,Aravankadu,IN,11.37468273588,76.755221542651
Arawa_NaN_Bougainville_PG,Arawa,PG,-6.0437234199789,155.39991978494
Araxa_Araxa_Minas Gerais_BR,Araxa,BR,-19.319341331211,-46.839053869073
"Arba Minch'_NaN_Southern Nations, Nationalities, and People's Region_ET",Arba Minch',ET,6.3181766455254,37.510104406035
Arbois_Departement du Jura_Franche-Comte_FR,Arbois,FR,46.943510424973,5.742620673156
Arcachon_Departement de la Gironde_Aquitaine_FR,Arcachon,FR,44.575310859062,-1.2149598084741
Archidona_Provincia de Malaga_Andalusia_ES,Archidona,ES,37.090925656606,-4.3972786825668
Arco_Butte County_Idaho_US,Arco,US,43.44351071716514,-113.59783235076452
Ardrossan_Yorke Peninsula_South Australia_AU,Ardrossan,AU,-34.297897485932,137.96972057572
Are_Are Kommun_Jaemtland_SE,Are,SE,63.495024971971,12.472520465351
Areal_Areal_Rio de Janeiro_BR,Areal,BR,-22.363958211768,-43.127596326477
Areia_Areia_Paraiba_BR,Areia,BR,-7.0384088765051,-35.632330788964
"Areka_NaN_Southern Nations, Nationalities, and People's Region_ET",Areka,ET,7.0235795188744,37.231571511884
Ares_Ares_Rio Grande do Norte_BR,Ares,BR,-6.1933633188334,-35.213368330386
Arevalo_Provincia de Avila_Castille and Leon_ES,Arevalo,ES,41.084418986746,-4.7393369698526
Argana_Taroudannt_Souss-Massa-Draa_MA,Argana,MA,30.790300990002,-9.1351890081721
Arhust_NaN_Central Aimak_MN,Arhust,MN,47.945060693885,107.45424909519
Arias_NaN_Cordoba_AR,Arias,AR,-34.014230161139,-62.274928553459
Arica_Provincia de Arica_Arica y Parinacota_CL,Arica,CL,-18.391764810505,-70.278035612049
Ariqdam_NaN_Gadabay Rayon_AZ,Ariqdam,AZ,40.67596307486754,45.82371656291879
Aristau_Bezirk Muri_Aargau_CH,Aristau,CH,47.297616574095,8.3614129343633
Ariyalur_Ariyalur_Tamil Nadu_IN,Ariyalur,IN,11.112925987475,79.17055936952
Arjeplog_Arjeplogs Kommun_Norrbotten_SE,Arjeplog,SE,66.117378201064,17.436294693558
Arjona_Provincia de Jaen_Andalusia_ES,Arjona,ES,37.93052223973,-4.0823179410065
Arkhangel'sk_NaN_Arkhangelskaya_RU,Arkhangel'sk,RU,64.487087905845,40.575679956414
Armonk_Westchester County_New York_US,Armonk,US,41.13658838097,-73.70157074747
Arnaia_Nomos Chalkidikis_Central Macedonia_GR,Arnaia,GR,40.50207436828208,23.57290805112603
Arnieres-sur-Iton_Departement de l'Eure_Haute-Normandie_FR,Arnieres-sur-Iton,FR,48.967185502821,1.1402259901092
Arno_Norrtalje Kommun_Stockholm_SE,Arno,SE,60.065481334408,18.774006228465
Arquitecto Tomas Romero Pereira_NaN_Itapua_PY,Arquitecto Tomas Romero Pereira,PY,-26.271156995121,-55.202942278956
Arrecife_Provincia de Las Palmas_Canary Islands_ES,Arrecife,ES,28.982103259652,-13.579021220651
Arrifes_Ponta Delgada_Azores_PT,Arrifes,PT,37.809313273746,-25.801219435932
Arroio Grande_Arroio Grande_Rio Grande do Sul_BR,Arroio Grande,BR,-32.722711739556,-52.634151538208
Arrowtown_Queenstown-Lakes District_Otago_NZ,Arrowtown,NZ,-45.058789579738,169.13941205658
Arshan'_NaN_Kalmykiya_RU,Arshan',RU,46.270559499917,44.15667472101
Arta_Illes Balears_Balearic Islands_ES,Arta,ES,39.676268897786,3.3087161699966
Artem_NaN_Primorskiy_RU,Artem,RU,43.359246257006,132.14115751719
Arthur's Town_NaN_Cat Island_BS,Arthur's Town,BS,24.626317338022,-76.155446812299
Arua_Arua District_Northern Region_UG,Arua,UG,3.0733526693466,30.883505813067
Arusha_NaN_Arusha_TZ,Arusha,TZ,-3.3409827201434,36.634861258451
Arvidsjaur_Arvidsjaurs Kommun_Norrbotten_SE,Arvidsjaur,SE,65.583937422862,19.409186774683
Arzano_Provincia di Napoli_Campania_IT,Arzano,IT,40.895737392501,14.255339356785
As Samu`_NaN_West Bank_PS,As Samu`,PS,31.257352286366,35.07283179375
As Sulaymaniyah_NaN_As Sulaymaniyah_IQ,As Sulaymaniyah,IQ,35.632063991638,45.228341440082
As Sulayyil_NaN_Ar Riyad_SA,As Sulayyil,SA,20.467585293017,44.797341944214
